,스타벅스매장수
서교동_2014_2,4
서교동_2014_3,4
서교동_2014_4,5
서교동_2015_1,5
서교동_2015_2,5
서교동_2015_3,5
서교동_2015_4,5
서교동_2016_1,6
서교동_2016_2,6
서교동_2016_3,6
서교동_2016_4,6
서교동_2017_1,6
서교동_2017_2,6
서교동_2017_3,6
서교동_2017_4,6
서교동_2018_1,7
서교동_2018_2,8
서교동_2018_3,8
서교동_2018_4,7
서교동_2019_1,7
서교동_2019_2,7
서교동_2019_3,7
서교동_2019_4,7
신사동_2014_1,6
신사동_2014_2,6
신사동_2014_3,6
신사동_2014_4,6
신사동_2015_1,6
신사동_2015_2,6
신사동_2015_3,6
신사동_2015_4,6
대치동_2014_1,8
대치동_2014_2,8
대치동_2014_3,9
대치동_2014_4,9
대치동_2015_1,9
대치동_2015_2,9
대치동_2015_3,9
대치동_2015_4,9
대치동_2016_1,9
대치동_2016_2,10
대치동_2016_3,11
대치동_2016_4,11
대치동_2017_1,11
대치동_2017_2,11
대치동_2017_3,11
대치동_2017_4,11
천호동_2014_1,2
천호동_2014_2,2
천호동_2014_3,2
전농동_2014_1,1
전농동_2014_2,1
전농동_2014_3,1
전농동_2014_4,1
전농동_2015_1,1
전농동_2015_2,1
전농동_2015_3,1
전농동_2015_4,1
전농동_2016_1,1
전농동_2016_2,1
전농동_2016_3,1
전농동_2016_4,1
전농동_2017_1,1
전농동_2017_2,1
전농동_2017_3,1
전농동_2017_4,1
전농동_2018_1,1
전농동_2018_2,1
전농동_2018_3,1
전농동_2018_4,1
전농동_2019_1,1
공덕동_2014_1,1
공덕동_2014_2,1
공덕동_2014_3,1
공덕동_2014_4,1
공덕동_2015_1,1
공덕동_2015_2,1
공덕동_2015_3,1
공덕동_2015_4,1
공덕동_2016_1,1
공덕동_2016_2,1
공덕동_2016_3,1
공덕동_2016_4,1
공덕동_2017_1,1
공덕동_2017_2,1
공덕동_2017_3,1
공덕동_2017_4,1
공덕동_2018_1,2
공덕동_2018_2,2
공덕동_2018_3,2
공덕동_2018_4,2
공덕동_2019_1,2
공덕동_2019_2,2
공덕동_2019_3,2
삼성동_2014_1,8
삼성동_2014_2,7
삼성동_2014_3,7
삼성동_2014_4,7
삼성동_2015_1,7
삼성동_2015_2,7
삼성동_2015_3,8
삼성동_2015_4,8
삼성동_2016_1,9
삼성동_2016_2,9
삼성동_2016_3,9
삼성동_2016_4,9
삼성동_2017_1,9
삼성동_2017_2,10
삼성동_2017_3,10
삼성동_2017_4,10
삼성동_2018_1,12
삼성동_2018_2,12
삼성동_2018_3,12
삼성동_2018_4,12
삼성동_2019_1,12
삼성동_2019_2,12
삼성동_2019_3,12
삼성동_2019_4,12
삼성동_2020_1,12
삼성동_2020_2,14
삼성동_2020_3,14
삼성동_2020_4,15
서교동_2014_1,3
서교동_2020_1,6
서교동_2020_2,6
서교동_2020_3,6
서교동_2020_4,6
서교동_2021_1,6
역삼동_2014_1,17
역삼동_2014_2,17
역삼동_2014_3,17
역삼동_2014_4,17
역삼동_2015_1,17
역삼동_2015_2,17
역삼동_2015_3,17
역삼동_2015_4,17
역삼동_2016_1,17
역삼동_2016_2,17
역삼동_2016_3,17
역삼동_2016_4,18
역삼동_2017_1,18
역삼동_2017_2,18
역삼동_2017_3,20
역삼동_2017_4,20
역삼동_2018_1,20
역삼동_2018_2,20
역삼동_2018_3,20
역삼동_2018_4,20
역삼동_2019_1,20
역삼동_2019_2,21
역삼동_2019_3,22
역삼동_2019_4,22
역삼동_2020_1,22
역삼동_2020_2,22
역삼동_2020_3,22
역삼동_2020_4,24
역삼동_2021_1,24
역삼동_2021_2,24
수서동_2014_1,1
수서동_2014_2,1
수서동_2014_3,1
수서동_2014_4,1
수서동_2015_1,1
수서동_2015_2,1
수서동_2015_3,1
수서동_2015_4,1
수서동_2016_1,1
수서동_2016_2,1
수서동_2016_3,1
수서동_2016_4,1
수서동_2017_1,1
수서동_2017_2,1
수서동_2017_3,1
수서동_2017_4,1
수서동_2018_1,1
수서동_2018_2,2
수서동_2018_3,2
수서동_2018_4,2
수서동_2019_1,2
수서동_2019_2,2
수서동_2019_3,2
수서동_2019_4,2
수서동_2020_1,2
수서동_2020_2,2
수서동_2020_3,2
수서동_2020_4,2
수서동_2021_1,2
수서동_2021_2,2
수서동_2021_3,1
합정동_2014_1,1
합정동_2014_2,1
합정동_2014_3,1
합정동_2014_4,1
합정동_2015_1,1
합정동_2015_2,1
합정동_2015_3,1
합정동_2015_4,1
합정동_2016_1,1
합정동_2016_2,2
합정동_2016_3,2
인사동_2014_1,1
인사동_2014_2,1
인사동_2014_3,1
인사동_2014_4,1
인사동_2015_1,1
인사동_2015_2,1
인사동_2015_3,1
인사동_2015_4,1
인사동_2016_1,1
인사동_2016_2,1
인사동_2016_3,1
인사동_2016_4,1
인사동_2017_1,1
인사동_2017_2,1
인사동_2017_3,1
인사동_2017_4,1
인사동_2018_1,1
인사동_2018_2,1
인사동_2018_3,1
인사동_2018_4,1
인사동_2019_1,1
인사동_2019_2,1
인사동_2019_3,1
인사동_2019_4,1
관철동_2014_1,3
관철동_2014_2,3
관철동_2014_3,3
관철동_2014_4,3
관철동_2015_1,3
관철동_2015_2,3
관철동_2015_3,3
관철동_2015_4,3
관철동_2016_1,3
관철동_2016_2,3
관철동_2016_3,3
관철동_2016_4,3
관철동_2017_1,3
관철동_2017_2,3
관철동_2017_3,3
관철동_2017_4,3
관철동_2018_1,3
관철동_2018_2,3
관철동_2018_3,3
관철동_2018_4,3
관철동_2019_1,3
관철동_2019_2,3
관철동_2019_3,3
관철동_2019_4,3
당산동6가_2014_1,2
당산동6가_2014_2,2
당산동6가_2014_3,2
당산동6가_2014_4,2
당산동6가_2015_1,2
당산동6가_2015_2,2
당산동6가_2015_3,2
당산동6가_2015_4,2
당산동6가_2016_1,2
당산동6가_2016_2,2
당산동6가_2016_3,2
당산동6가_2016_4,2
당산동6가_2017_1,2
당산동6가_2017_2,2
당산동6가_2017_3,2
당산동6가_2017_4,2
당산동6가_2018_1,2
당산동6가_2018_2,3
당산동6가_2018_3,3
당산동6가_2018_4,3
당산동6가_2019_1,3
당산동6가_2019_2,3
당산동6가_2019_3,3
당산동6가_2019_4,3
당산동6가_2020_1,3
당산동6가_2020_2,3
당산동6가_2020_3,3
관철동_2020_1,2
관철동_2020_2,2
관철동_2020_3,2
관철동_2020_4,2
관철동_2021_1,2
평창동_2014_1,1
평창동_2014_2,1
평창동_2014_3,1
평창동_2014_4,1
평창동_2015_1,1
평창동_2015_2,1
평창동_2015_3,1
평창동_2015_4,1
평창동_2016_1,1
평창동_2016_2,1
평창동_2016_3,1
평창동_2016_4,1
평창동_2017_1,1
평창동_2017_2,1
평창동_2017_3,1
평창동_2017_4,1
평창동_2018_1,1
평창동_2018_2,1
평창동_2018_3,1
평창동_2018_4,2
평창동_2019_1,2
종로2가_2017_4,2
서초동_2014_1,17
서초동_2014_2,18
여의도동_2014_1,12
여의도동_2014_2,12
여의도동_2014_3,12
여의도동_2014_4,13
여의도동_2015_1,14
여의도동_2015_2,14
여의도동_2015_3,13
여의도동_2015_4,13
여의도동_2016_1,14
여의도동_2016_2,14
여의도동_2016_3,14
여의도동_2016_4,16
여의도동_2017_1,16
여의도동_2017_2,17
여의도동_2017_3,17
여의도동_2017_4,17
여의도동_2018_1,19
여의도동_2018_2,19
여의도동_2018_3,19
여의도동_2018_4,19
동숭동_2014_1,3
동숭동_2014_2,3
동숭동_2014_3,3
동숭동_2014_4,3
동숭동_2015_1,3
동숭동_2015_2,3
동숭동_2015_3,3
동숭동_2015_4,3
동숭동_2016_1,3
동숭동_2016_2,3
동숭동_2016_3,3
동숭동_2016_4,3
동숭동_2017_1,3
동숭동_2017_2,3
동숭동_2017_3,3
동숭동_2017_4,3
동숭동_2018_1,3
동숭동_2018_2,3
동숭동_2018_3,3
동숭동_2018_4,4
방이동_2014_1,2
방이동_2014_2,3
방이동_2014_3,3
방이동_2014_4,3
방이동_2015_1,3
방이동_2015_2,3
공릉동_2014_1,1
공릉동_2014_2,1
공릉동_2014_3,1
공릉동_2014_4,1
공릉동_2015_1,1
공릉동_2015_2,1
공릉동_2015_3,1
공릉동_2015_4,1
공릉동_2016_1,1
공릉동_2016_2,1
공릉동_2016_3,1
공릉동_2016_4,1
공릉동_2017_1,1
공릉동_2017_2,1
공릉동_2017_3,2
공릉동_2017_4,2
공릉동_2018_1,2
공릉동_2018_2,3
공릉동_2018_3,3
공릉동_2018_4,3
공릉동_2019_1,3
공릉동_2019_2,3
공릉동_2019_3,3
공릉동_2019_4,3
공릉동_2020_1,3
공릉동_2020_2,3
공릉동_2020_3,3
천호동_2015_3,3
천호동_2015_4,3
천호동_2016_1,3
천호동_2016_2,3
천호동_2016_3,4
천호동_2016_4,4
천호동_2017_1,4
천호동_2017_2,4
천호동_2017_3,4
천호동_2017_4,4
천호동_2018_1,4
천호동_2018_2,4
천호동_2018_3,4
천호동_2018_4,4
성내동_2014_2,2
성내동_2014_3,2
성내동_2014_4,2
성내동_2015_1,2
성내동_2015_2,2
성내동_2015_3,2
성내동_2015_4,2
성내동_2016_1,3
성내동_2016_2,3
성내동_2016_3,3
성내동_2016_4,3
성내동_2017_1,3
성내동_2017_2,3
성내동_2017_3,3
성내동_2017_4,3
성내동_2018_1,3
성내동_2018_2,3
성내동_2018_3,3
성내동_2018_4,3
성내동_2019_1,3
성내동_2019_2,4
성내동_2019_3,4
성내동_2019_4,4
성내동_2020_1,4
성내동_2020_2,4
성내동_2020_3,4
성내동_2020_4,4
성내동_2021_1,4
성내동_2021_2,4
성내동_2021_3,1
화곡동_2014_1,2
화곡동_2014_2,2
화곡동_2014_3,2
화곡동_2014_4,2
화곡동_2015_1,3
화곡동_2015_2,3
화곡동_2015_3,3
화곡동_2015_4,3
화곡동_2016_1,3
화곡동_2016_2,3
화곡동_2016_3,3
화곡동_2016_4,4
화곡동_2017_1,4
화곡동_2017_2,4
화곡동_2017_3,4
신대방동_2014_1,1
신대방동_2014_2,1
신대방동_2014_3,1
신대방동_2014_4,1
신대방동_2015_1,1
신대방동_2015_2,1
신대방동_2015_3,1
신대방동_2015_4,1
신대방동_2016_1,1
신대방동_2016_2,1
